user_id	user_hash	ratingUser	userGamesPlayed
7268	3da90302d3d94216f2c06cc49efb2b122bee379c8143922c0a6fbe2b47db154d	2113	7157
21709	b7654c69d380e16dc133d59936f34b1318e353faa450fa0bf840a629fadf1459	2088	7760
21407	b4fd4336268c451f4939069587ee354603dc145b057dd57e1ea97afea82d468e	2074	6141
18278	9adee4e89a43a5f412bb4227433937655e99a11426c109d0bcd7f80a987be34f	1867	4716
14331	79be8658df80df08ab425b1c20ba41770de5cee5949a3658cefbab0e3b819c90	2335	4437
26360	de42f8f1f0015c1fd7b33363bd36a0fe6e70219afd9780c10ef811132c3bb5e7	2318	14396
2868	189823e6167c6ae7c550ea2194766d3828fb36e9e9b1654609bb381fba2a8cd8	1890	3084
16760	8e2231d2b5093d01fabdc88b467676b3078d1442c2b2170077d64d41f92c92fc	2074	1928
27397	e751174ec79ede9701435671282fdf349ca57cb296cae8c4ffa9e809efd14df2	1541	1046
13263	709c6b9629f82206e2d0a980c2100253329e6c162a0c1b19110091688b3fb4e8	1752	1815
11609	626ea7578302a9f086762297114df225261dfd8600fe295264fde52f9b54b341	2057	7247
3358	1c6c0555d04403265f3b96ced0281750490c6beb3009348429c6ef9702e27bd9	1854	5871
16082	885007762cfe5f0b028d88c26c3581a91e3f226371c9efae866244fb09fa535f	1814	2922
14383	7a348494ef7ba27a6fe2ed089ac84aca4a95ba77b95484772ad490f9a4b9221c	2033	7307
2986	1983a43710bfc5d5cc44367d2c0339ccd145d8c053b6a945a11b9271b0c866cb	2033	9975
109	01098357c866093611fa8a576bb5bade948458bdd8dd394672ed23201eaad2c7	2118	5451
9285	4e695a90dca445a01a2595f0ff90f25b8a27b8dcd30ff344366fa9d645fc2997	1983	4734
20029	a96e2e600582d10e926d24327b78a6d74bfb2ad81fc3581f6ca023147f79e404	2685	21290
8253	45a3502cfc141c6bfaca081ce4fa3f62b5a46d001213597c0b74a4fc85464605	1871	3245
24712	d082b6e3f480fc4f495c84a99fbbfff46651324e7b5d658bb0541387f64c8c82	2687	18877
611	0575612356f922da19918aa0b69d42a19886aec9d5aa7190605733be0364715c	2249	3258
27364	e70e3af9f0ba2ad4c9f4615e8ec36ef9a5acfdbd730455c46efc8c191f9ca933	2095	4395
5888	31fd2d8b73849fb598e5f888c1b3dda9ea887304401e3b2fab0565403986e2cc	1755	9117
466	0444879cd8662ee0c50e778335518c5f311f018b534c9bf5cd8995411bfa1630	1984	15268
4406	254c368cc95c5148d1a5f1c19a6ba2d3fc9cdb470dd0369c22e54d096875602b	2261	11640
26934	e3390301248720198f4f2b4114c3cc61727568bd391e3b5f9bef59723176051d	1798	3927
24304	cd1950759a710929d8a76f9e531f0d18de64c8de6141ad62ac7ba268c3d64b4d	1836	2207
24933	d2497925d8efff6d92097d2054994fd1fc2387222efe941dfedbab7bf2449555	2155	3083
27584	e8f281ea2931e4e2c562c774aa1ec72b5ab88ffb789e9dab31d580187c70dbe0	2333	9331
24458	ce69a1dd76d2fed4ec5af01efbfe1c213774d2cd0368837f5c87ce5ac267a0eb	1892	1521
603	055624383357dfb042c6c432798a1a6a22be24134e02175871915bc74d552da3	1946	2578
